company,symbol,exchange,quarter,periodEnded,revenue,profitLoss,previousRevenue,previousProfitLoss,currency,sourceUrl
PTL Enterprises Limited,PTL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118853_1372778_06022025034826.xml
PULZ ELECTRONICS LIMITED,PULZ,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
PUSHPANJALI REALMS AND INFRATECH LIMITED,PUSHPREALM,NSE,Fourth Quarter,2018-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
PVP Ventures Limited,PVP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120923_1386375_15022025055053.xml
PVR INOX Limited,PVRINOX,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118860_1372830_06022025035525.xml
Page Industries Limited,PAGEIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118703_1371380_05022025021959.xml
Paisalo Digital Limited,PAISALO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118581_1370268_04022025040037.xml
Palash Securities Limited,PALASHSECU,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120328_1382432_13022025055814.xml
Palred Technologies Limited,PALREDTEC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120274_1382083_13022025050049.xml
Panacea Biotec Limited,PANACEABIO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120720_1385256_14022025071635.xml
Panache Digilife Limited,PANACHE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117477_1356981_22012025033302.xml
Panama Petrochem Limited,PANAMAPET,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118250_1366945_31012025124023.xml
Pansari Developers Limited,PANSARI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120650_1384727_14022025054537.xml
Par Drugs and Chemicals Limited,PAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120805_1385786_15022025110722.xml
Paradeep Phosphates Limited,PARADEEP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118563_1370091_04022025023927.xml
Parag Milk Foods Limited,PARAGMILK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118321_1367517_31012025053731.xml
Paramount Communications Limited,PARACABLES,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119045_1374346_07022025033041.xml
Paras Defence and Space Technologies Limited,PARAS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119270_1375701_08022025042415.xml
Paras Petrofils Limited,PARASPETRO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118549_1370005_04022025015924.xml
Parsvnath Developers Limited,PARSVNATH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120810_1385805_15022025112443.xml
Pasupati Acrylon Limited,PASUPTAC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119885_1379781_12022025042842.xml
Patanjali Foods Limited,PATANJALI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119472_1377226_10022025081205.xml
Patel Engineering Limited,PATELENG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120005_1380421_12022025063539.xml
Patel Integrated Logistics Limited,PATINTLOG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118821_1372500_06022025013117.xml
Pavna Industries Limited,PAVNAIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120837_1385934_15022025121548.xml
Pearl Global Industries Limited,PGIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121004_1393519_07032025010231.xml
Pearl Polymers Limited,PEARLPOLY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120494_1383665_14022025020349.xml
Peninsula Land Limited,PENINLAND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119197_1375307_07022025110630.xml
Pennar Industries Limited,PENIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120817_1385842_15022025114253.xml
Persistent Systems Limited,PERSISTENT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117509_1357479_22012025090923.xml
Petronet LNG Limited,PETRONET,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117836_1362880_28012025025512.xml
Pfizer Limited,PFIZER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118320_1367514_31012025053712.xml
Pidilite Industries Limited,PIDILITIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117518_1358926_23012025113009.xml
Pilani Investment and Industries Corporation Limited,PILANIINVS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118806_1372369_06022025121330.xml
Pioneer Embroideries Limited,PIONEEREMB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118997_1374017_07022025123811.xml
Piramal Enterprises Limited,PEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117793_1362415_27012025080320.xml
Piramal Pharma Limited,PPLPHARMA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117925_1363802_28012025090457.xml
Pitti Engineering Limited,PITTIENG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120406_1382981_13022025084129.xml
Pix Transmissions Limited,PIXTRANS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120849_1385983_15022025123626.xml
Plastiblends India Limited,PLASTIBLEN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117307_1348735_17012025125611.xml
Platinum Industries Limited,PLATIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120460_1383476_14022025123350.xml
Plaza Wires Limited,PLAZACABLE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120593_1384334_14022025043920.xml
Poddar Pigments Limited,PODDARMENT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119902_1379881_12022025045114.xml
Pokarna Limited,POKARNA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118127_1365754_30012025031858.xml
Poly Medicure Limited,POLYMED,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118510_1369589_03022025073418.xml
Polycab India Limited,POLYCAB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117488_1357164_22012025051528.xml
Polyplex Corporation Limited,POLYPLEX,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120890_1386179_15022025030651.xml
Pondy Oxides & Chemicals Limited,POCL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117627_1360412_24012025044946.xml
Ponni Sugars (Erode) Limited,PONNIERODE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117323_1349568_17012025050704.xml
Poonawalla Fincorp Limited,POONAWALLA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118343_1367711_31012025063700.xml
Popular Vehicles and Services Limited,PVSL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119864_1379679_12022025040332.xml
Power & Instrumentation (Gujarat) Limited,PIGL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120480_1383593_14022025011658.xml
Power Finance Corporation Limited,PFC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_119896_1379852_12022025044515.xml
Power Grid Corporation of India Limited,POWERGRID,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118615_1370657_04022025055754.xml
Power Mech Projects Limited,POWERMECH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119513_1377473_11022025105531.xml
Prabha Energy Limited,PRABHA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121072_1398558_21032025112904.xml
Praj Industries Limited,PRAJIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118149_1365934_30012025042703.xml
Prajay Engineers Syndicate Limited,PRAENG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120555_1384051_14022025035035.xml
Prakash Industries Limited,PRAKASH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119281_1375771_08022025053106.xml
Prakash Pipes Limited,PPL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119384_1376627_10022025050811.xml
Prakash Steelage Limited,PRAKASHSTL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119777_1379103_12022025114908.xml
Prataap Snacks Limited,DIAMONDYD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117795_1362427_27012025083655.xml
Praxis Home Retail Limited,PRAXIS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120034_1380547_12022025070148.xml
Precision Camshafts Limited,PRECAM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119974_1380243_12022025060043.xml
Precision Wires India Limited,PRECWIRE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119925_1379981_12022025051311.xml
Precot Limited,PRECOT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119931_1380024_12022025052121.xml
Premier Energies Limited,PREMIERENE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118553_1370029_04022025021456.xml
Premier Explosives Limited,PREMEXPLN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120016_1380468_12022025064137.xml
Premier Limited,PREMIER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119996_1380389_12022025062833.xml
Premier Polyfilm Limited,PREMIERPOL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117761_1361948_27012025041124.xml
Prestige Estates Projects Limited,PRESTIGE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118315_1367484_31012025053142.xml
Pricol Limited,PRICOLLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118162_1366094_30012025051140.xml
Prime Focus Limited,PFOCUS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119476_1377247_10022025082247.xml
Prime Securities Limited,PRIMESECU,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_121076_1398799_21032025042926.xml
Prince Pipes And Fittings Limited,PRINCEPIPE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119583_1377971_11022025032643.xml
Prism Johnson Limited,PRSMJOHNSN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118909_1373314_06022025055238.xml
Priti International Limited,PRITI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120715_1385234_14022025071402.xml
Pritika Auto Industries Limited,PRITIKAUTO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119907_1379900_12022025045409.xml
Pritish Nandy Communications Limited,PNC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119191_1375289_07022025104530.xml
Privi Speciality Chemicals Limited,PRIVISCL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119868_1379704_12022025041059.xml
Procter & Gamble Health Limited,PGHL,NSE,Second Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120093_1380920_12022025110902.xml
Procter & Gamble Hygiene and Health Care Limited,PGHH,NSE,Second Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119691_1378627_11022025065554.xml
Prozone Realty Limited,PROZONER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119687_1378611_11022025065207.xml
Prudent Corporate Advisory Services Limited,PRUDENT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117786_1362344_27012025070235.xml
Prudential Sugar Corporation Limited,PRUDMOULI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119600_1378080_11022025040710.xml
Pudumjee Paper Products Limited,PDMJEPAPER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118338_1367639_31012025061332.xml
Punjab & Sind Bank,PSB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_117251_1346613_15012025065402.xml
Punjab Chemicals & Crop Protection Limited,PUNJABCHEM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117840_1363007_28012025040158.xml
Punjab National Bank,PNB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_118361_1367843_31012025072053.xml
Puravankara Limited,PURVA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120676_1384912_14022025061334.xml
Pyramid Technoplast Limited,PYRAMID,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118564_1370100_04022025024528.xml
QMS MEDICAL ALLIED SERVICES LIMITED,QMSMEDI,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
QUADPRO ITES LIMITED,QUADPRO,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117026_1320017_27112024032857.xml
QUICKTOUCH TECHNOLOGIES LIMITED,QUICKTOUCH,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
Quadrant Future Tek Limited,QUADFUTURE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120622_1384547_14022025052105.xml
Quality Power Electrical Equipments Limited,QPOWER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121053_1396547_16032025104356.xml
Quess Corp Limited,QUESS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118118_1365672_30012025022153.xml
Quick Heal Technologies Limited,QUICKHEAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118684_1371177_05022025121234.xml
Quintegra Solutions Limited,QUINTEGRA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119553_1377771_11022025020930.xml
R K Swamy Limited,RKSWAMY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120011_1380445_12022025063913.xml
R M DRIP AND SPRINKLERS SYSTEMS LIMITED,RMDRIP,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
R R Kabel Limited,RRKABEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117917_1363736_28012025080611.xml
R Systems International Limited,RSYSTEMS,NSE,Fourth Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120445_1383384_14022025120742.xml
R. S. Software (India) Limited,RSSOFTWARE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117469_1356830_22012025011321.xml
R.P.P. Infra Projects Limited,RPPINFRA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120935_1386525_17022025122055.xml
RACHANA INFRASTRUCTURE LIMITED,RILINFRA,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
RACL Geartech Limited,RACLGEAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118304_1367382_31012025045637.xml
RADIOWALLA NETWORK LIMITED,RADIOWALLA,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_113981_1294134_30102024034241.xml
RAJGOR CASTOR DERIVATIVES LIMITED,RCDL,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116999_1318187_22112024110412.xml
RAJPUTANA INDUSTRIES LIMITED,RAJINDLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117964_1364244_29012025020656.xml
RBL Bank Limited,RBLBANK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_117354_1350687_18012025035755.xml
RBZ Jewellers Limited,RBZJEWEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120983_1392056_04032025120339.xml
REC Limited,RECLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118878_1373064_06022025045437.xml
REX PIPES AND CABLES INDUSTRIES LIMITED,REXPIPES,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
RHI MAGNESITA INDIA LIMITED,RHIM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119922_1379959_12022025050454.xml
RICHA INFO SYSTEMS LIMITED,RICHA,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
RITE ZONE CHEMCON INDIA LIMITED,RITEZONE,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
RITES Limited,RITES,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117844_1363034_28012025040908.xml
RKEC Projects Limited,RKEC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120161_1381382_13022025011730.xml
RNFI SERVICES LIMITED,RNFI,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116136_1311721_14112024045917.xml
ROUTE MOBILE LIMITED,ROUTE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117857_1363136_28012025044002.xml
RPG Life Sciences Limited,RPGLIFE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120998_1393473_07032025123156.xml
RPSG VENTURES LIMITED,RPSGVENT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120605_1384400_14022025044943.xml
RSWM Limited,RSWM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120068_1380770_12022025081739.xml
Race Eco Chain Limited,RACE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119636_1378298_11022025052449.xml
Radaan Mediaworks India Limited,RADAAN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120903_1386245_15022025035308.xml
Radhika Jeweltech Limited,RADHIKAJWE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117312_1348981_17012025025019.xml
Radiant Cash Management Services Limited,RADIANTCMS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120509_1383798_14022025030205.xml
Radico Khaitan Limited,RADICO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118030_1364789_29012025052635.xml
